LB          134936         000000000+0000000000000+    000000303+           18582          200708                                         90000003000012006050734547
LB          134936         000000000+0000000000000+    000000800+           20043          200708                                         90000003000022006050734547
LB          134936         000000000+0000000000000+    000000747+           20379          200708                                         90000003000032006050734547
LB          134935         000000000+0000000000000+    000000196+           20974          200710                                         90000003000042006050734547
LB          243804         000000000+0000000000000+    000000952+           19157          200702                                         90000003000052006050734547
LB          243803         000000000+0000000000000+    000000294+           19311          200703                                         90000003000062006050734547
LB          133310         000000000+0000000000000+    000000058+           19227          200612                                         90000003000072006050734547
LG          134936         000000197+0000000000000+    000000000+ WE2006050520379                                                         90000003000142006050734547
LG          134935         000000005+0000000000000+    000000000+ WE2006050420974                                                         90000003000182006050734547
LG          243804         000000181+0000000000000+    000000000+ WE2006050519157                                                         90000003000222006050734547
LG          243803         000000013+0000000000000+    000000000+ WE2006050419311                                                         90000003000262006050734547
LG          133310         000000013+0000000000000+    000000000+ WE2006050519227                                                         90000003000282006050734547
FARAPAMRAPAM134935         000000006+0000000074160+ EUR000000000+   2006050320974          200710          000005                         90000003000292006050734547
FARAPAMRAPAM133310         000000001+0000000024720+ EUR000000000+   2006050319227          200612          000006                         90000003000302006050734547
FARAPAMRAPAM134935         000000006+0000000074160+ EUR000000000+   2006050320974          200710          000007                         90000003000312006050734547
FARAPAMRAPAM134936         000000005+0000000206000+ EUR000000000+   2006050418582          200708          000008                         90000003000322006050734547
FARAPAMRAPAM134936         000000001+0000000041200+ EUR000000000+   2006050318582          200708          000009                         90000003000332006050734547
FARAPAMRAPAM134935         000000003+0000000037080+ EUR000000000+   2006050320974          200710          000010                         90000003000342006050734547
FARAPAMRAPAM134935         000000003+0000000037080+ EUR000000000+   2006050320974          200710          000012                         90000003000352006050734547
FARAPAMRAPAM243803         000000002+0000000049440+ EUR000000000+   2006050319311          200703          000012                         90000003000362006050734547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006050320974          200710          000013                         90000003000372006050734547
FARAPAMRAPAM134936         000000001+0000000041200+ EUR000000000+   2006050318582          200708          000014                         90000003000382006050734547
FARAPAMRAPAM134936         000000020+0000000824000+ EUR000000000+   2006050318582          200708          000015                         90000003000392006050734547
FARAPAMRAPAM134935         000000020+0000000247200+ EUR000000000+   2006050320974          200710          000015                         90000003000402006050734547
FARAPAMRAPAM243804         000000030+0000002472000+ EUR000000000+   2006050319157          200702          000015                         90000003000412006050734547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006050420974          200710          000016                         90000003000422006050734547
FARAPAMRAPAM133310         000000002+0000000049440+ EUR000000000+   2006050419227          200612          000017                         90000003000432006050734547
FARAPAMRAPAM134935         000000000+0000000000000+ EUR000000000+                                          000018                         90000003000442006050734547
FARAPAMRAPAM134935         000000005+0000000061800+ EUR000000000+   2006050420974          200710          000019                         90000003000452006050734547
FARAPAMRAPAM134936         000000010+0000000412000+ EUR000000000+   2006050418582          200708          000020                         90000003000462006050734547
FARAPAMRAPAM134935         000000006+0000000074160+ EUR000000000+   2006050420974          200710          000020                         90000003000472006050734547
FARAPAMRAPAM243804         000000010+0000000824000+ EUR000000000+   2006050419157          200702          000020                         90000003000482006050734547
FARAPAMRAPAM243803         000000004+0000000098880+ EUR000000000+   2006050419311          200703          000020                         90000003000492006050734547
FARAPAMRAPAM134935         000000020+0000000247200+ EUR000000000+   2006050420974          200710          000021                         90000003000502006050734547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006050420974          200710          000022                         90000003000512006050734547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006050420974          200710          000022                         90000003000522006050734547
FARAPAMRAPAM134935         000000000+0000000000000+ EUR000000000+                                          000023                         90000003000532006050734547
FARAPAMRAPAM134935         000000003+0000000037080+ EUR000000000+   2006050420974          200710          000024                         90000003000542006050734547
FARAPAMRAPAM134935         000000016+0000000197760+ EUR000000000+   2006050420974          200710          000025                         90000003000552006050734547
FARAPAMRAPAM134935         000000001+0000000012360+ EUR000000000+   2006050420974          200710          000026                         90000003000562006050734547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006050420974          200710          000027                         90000003000572006050734547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006050420974          200710          000028                         90000003000582006050734547
FARAPAMRAPAM134935         000000003+0000000037080+ EUR000000000+   2006050420974          200710          000029                         90000003000592006050734547
FARAPAMRAPAM134935         000000003+0000000037080+ EUR000000000+   2006050420974          200710          000030                         90000003000602006050734547
FARAPAMRAPAM134935         000000003+0000000037080+ EUR000000000+   2006050420974          200710          000033                         90000003000612006050734547
FARAPAMRAPAM134936         000000001+0000000041200+ EUR000000000+   2006050418582          200708          000034                         90000003000622006050734547
FARAPAMRAPAM134935         000000002+0000000024720+ EUR000000000+   2006050420974          200710          000035                         90000003000632006050734547
ST                         000000196+0000006431320+    000000000+                                                                         900000030006420060507
