LB          134936         000000000+0000000000000+    000000285+           18582          200708                                         90000028000012006050934547
LB          134936         000000000+0000000000000+    000000800+           20043          200708                                         90000028000022006050934547
LB          134936         000000000+0000000000000+    000000747+           20379          200708                                         90000028000032006050934547
LB          134935         000000000+0000000000000+    000000194+           20974          200710                                         90000028000042006050934547
LB          243804         000000000+0000000000000+    000000952+           19157          200702                                         90000028000052006050934547
LB          243803         000000000+0000000000000+    000000292+           19311          200703                                         90000028000062006050934547
LB          133310         000000000+0000000000000+    000000058+           19227          200612                                         90000028000072006050934547
LG          243803         000000001-0000000000000+    000000000+ IN2006050919311                                                         90000028000082006050934547
FARAPAMRAPAM134935         000000000+0000000061800- EUR000000000+ G420060509                               000037                         90000028000092006050934547
FARAPAMRAPAM134936         000000000+0000000041200- EUR000000000+ G420060509                               000042                         90000028000102006050934547
FARAPAMRAPAM134936         000000000+0000000824000- EUR000000000+ G420060509                               000043                         90000028000112006050934547
FARAPAMRAPAM134935         000000000+0000000247200- EUR000000000+ G420060509                               000043                         90000028000122006050934547
FARAPAMRAPAM243804         000000000+0000002472000- EUR000000000+ G420060509                               000043                         90000028000132006050934547
FARAPAMRAPAM134935         000000000+0000000247200- EUR000000000+ G420060509                               000044                         90000028000142006050934547
FARAPAMRAPAM134935         000000000+0000000247200+ EUR000000000+   20060509                               000046                         90000028000152006050934547
FARAPAMRAPAM134936         000000000+0000000824000+ EUR000000000+   20060509                               000047                         90000028000162006050934547
FARAPAMRAPAM134935         000000000+0000000247200+ EUR000000000+   20060509                               000047                         90000028000172006050934547
FARAPAMRAPAM243804         000000000+0000002472000+ EUR000000000+   20060509                               000047                         90000028000182006050934547
FARAPAMRAPAM134936         000000000+0000000041200+ EUR000000000+   20060509                               000048                         90000028000192006050934547
FARAPAMRAPAM134936         000000006+0000000247200+ EUR000000000+   2006050918582          200708          000041                         90000028000202006050934547
FARAPAMRAPAM134936         000000002+0000000082400+ EUR000000000+   2006050918582          200708          000050                         90000028000212006050934547
FARAPAMRAPAM243803         000000001+0000000024720+ EUR000000000+   2006050919311          200703          000051                         90000028000222006050934547
ST                         000000009+0000000292520+    000000000+                                                                         900000280002320060509
